time,latitude,longitude,sv_used,hdop,pdop,vdop
2025-11-07T13:10:28.609363+00:00,58.42287066666667,15.574429833333333,22|01|19|17|15|13,1.76,2.84,2.23
2025-11-07T13:10:29.614683+00:00,58.4228985,15.574334,22|01|19|17|15|13,1.76,2.84,2.23
2025-11-07T13:10:30.613047+00:00,58.42292616666667,15.5742395,22|01|19|17|15|13,1.76,2.84,2.24
2025-11-07T13:10:31.614879+00:00,58.42295416666666,15.574132333333333,22|01|19|17|15|13,1.76,2.84,2.24
2025-11-07T13:10:32.612839+00:00,58.422980833333334,15.574033166666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:33.614896+00:00,58.42300933333333,15.573928,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:34.612919+00:00,58.423038166666664,15.573828333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:35.610979+00:00,58.42306766666667,15.573725666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:36.612986+00:00,58.42309633333333,15.5736265,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:37.614192+00:00,58.42312733333333,15.573523833333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:38.614076+00:00,58.423156666666664,15.573421,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:39.615489+00:00,58.423185,15.573316666666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:40.613192+00:00,58.423215166666665,15.573215666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:41.616311+00:00,58.4232455,15.573108,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:42.611398+00:00,58.42327566666667,15.573005333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:43.613462+00:00,58.423306833333335,15.572903666666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:44.614369+00:00,58.42333633333333,15.572799166666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:45.613512+00:00,58.42336733333333,15.572693666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:46.608475+00:00,58.423397,15.572588666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:47.615538+00:00,58.42342516666667,15.572485333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:48.612647+00:00,58.42345516666666,15.572380666666668,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:49.614654+00:00,58.423485166666666,15.572282666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:50.610395+00:00,58.423517,15.572187166666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:51.614663+00:00,58.42354616666667,15.572100166666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:52.614086+00:00,58.42357333333333,15.572015166666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:53.614134+00:00,58.423587833333336,15.571937166666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:54.612818+00:00,58.423585333333335,15.57187,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:55.613929+00:00,58.4235815,15.571791833333334,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:56.611033+00:00,58.42356983333333,15.571744333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:57.613007+00:00,58.42356433333333,15.571707,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:58.613134+00:00,58.423572,15.571678833333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:10:59.618170+00:00,58.42358,15.571662833333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:00.611672+00:00,58.4235925,15.571646833333334,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:01.616207+00:00,58.423613333333336,15.5716435,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:02.610226+00:00,58.4236335,15.571642333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:03.613297+00:00,58.423654166666665,15.571634666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:04.608414+00:00,58.423682666666664,15.571594666666666,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:05.617469+00:00,58.42371416666667,15.571526166666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:06.616551+00:00,58.423740333333335,15.571457,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:07.615572+00:00,58.42376866666667,15.571383333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:08.612683+00:00,58.42379833333333,15.571299833333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:09.618670+00:00,58.423827833333334,15.571204333333334,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:10.615758+00:00,58.423854166666665,15.5711145,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:11.614801+00:00,58.423881333333334,15.571020666666668,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:12.614817+00:00,58.423907,15.570933333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:13.613913+00:00,58.423942833333335,15.5708585,22|19|17|15|24|13,2.32,7.32,6.95
2025-11-07T13:11:14.610932+00:00,58.42398433333334,15.5708,22|19|17|15|24|13,2.32,7.33,6.95
2025-11-07T13:11:15.612907+00:00,58.4240245,15.570730666666666,22|19|17|15|24|13,2.32,7.34,6.96
2025-11-07T13:11:16.610078+00:00,58.424069333333335,15.570647,22|19|17|15|24|13,2.32,7.35,6.97
2025-11-07T13:11:17.617127+00:00,58.424116833333336,15.570562166666667,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:18.616134+00:00,58.424170833333335,15.570473833333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:19.616164+00:00,58.42422066666666,15.570387333333333,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:20.610136+00:00,58.424268166666664,15.5703115,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:21.615599+00:00,58.42431416666667,15.5702275,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:22.611383+00:00,58.42435966666667,15.5701495,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:23.615297+00:00,58.424402,15.570067333333334,22|01|19|17|15|24|13,1.30,2.57,2.22
2025-11-07T13:11:24.608338+00:00,58.42444966666667,15.5699825,22|19|17|15|24|13,2.34,7.41,7.03
2025-11-07T13:11:25.616464+00:00,58.424502333333336,15.569896833333333,22|19|17|15|24|13,2.34,7.42,7.04
2025-11-07T13:11:26.607574+00:00,58.42455616666667,15.5698215,22|19|17|15|24|13,2.34,7.43,7.05
2025-11-07T13:11:27.617551+00:00,58.42460466666667,15.569758,22|19|17|15|24|13,2.34,7.44,7.06
2025-11-07T13:11:28.614585+00:00,58.4246505,15.569712666666666,22|19|17|15|24|13,2.35,7.44,7.06
2025-11-07T13:11:29.613668+00:00,58.4246885,15.569669166666667,22|19|17|15|24|13,2.35,7.45,7.07
2025-11-07T13:11:30.612680+00:00,58.4247125,15.5696295,22|19|17|15|24|13,2.35,7.46,7.08
2025-11-07T13:11:31.614062+00:00,58.4246935,15.569613166666667,22|19|17|15|24|13,2.35,7.47,7.09
