time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:21.060379+00:00,"[128, 0, 0, 0, 0, 0]","[74, 0, 0, 0, 0, 0]","[6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00011000', '', '', '', '', '']"
2025-11-07T13:10:21.206625+00:00,"[128, 0, 0, 0, 0, 0]","[73, 0, 0, 0, 0, 0]","[6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00011000', '', '', '', '', '']"
2025-11-07T13:10:21.304134+00:00,"[128, 0, 0, 0, 0, 0]","[72, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:21.450380+00:00,"[128, 0, 0, 0, 0, 0]","[71, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:21.547876+00:00,"[128, 0, 0, 0, 0, 0]","[71, 0, 0, 0, 0, 0]","[5.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010110', '', '', '', '', '']"
2025-11-07T13:10:21.742915+00:00,"[128, 0, 0, 0, 0, 0]","[70, 0, 0, 0, 0, 0]","[5.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010110', '', '', '', '', '']"
2025-11-07T13:10:21.840387+00:00,"[128, 0, 0, 0, 0, 0]","[69, 0, 0, 0, 0, 0]","[5.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010110', '', '', '', '', '']"
2025-11-07T13:10:21.937881+00:00,"[128, 0, 0, 0, 0, 0]","[69, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:22.084173+00:00,"[128, 0, 0, 0, 0, 0]","[68, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:22.181648+00:00,"[128, 0, 0, 0, 0, 0]","[68, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:22.327894+00:00,"[128, 0, 0, 0, 0, 0]","[67, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:22.425392+00:00,"[128, 0, 0, 0, 0, 0]","[67, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
